Infosheet diagnostics
Sample	Gene	Issue
Sample: BFX0034312.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040646.docx	Gene: MTHFR677	Issue: Implausible phenotype
Sample: G001040646.docx	Gene: MTHFR677	Issue: Implausible genotype
Sample: G001040649.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040651.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040654.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040655.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040657.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040658.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040659.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040661.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040663.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040667.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040668.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040669.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040670.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040672.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040672.docx	Gene: MTHFR677	Issue: Implausible phenotype
Sample: G001040672.docx	Gene: MTHFR677	Issue: Implausible genotype
Sample: G001040674.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040675.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040677.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040679.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040680.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040681.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040684.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040685.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040686.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040687.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040690.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040694.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040700.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
